Date,Not indexed,Indexed,Impressions
2025-10-02,,,3
2025-10-03,9,2,1
2025-10-04,10,2,0
2025-10-05,10,2,0
2025-10-06,10,2,1
2025-10-07,9,3,0
2025-10-08,9,3,0
2025-10-09,9,3,0
2025-10-10,9,3,0
2025-10-11,9,3,0
2025-10-12,9,3,0
2025-10-13,9,3,0
2025-10-14,9,3,0
2025-10-15,9,3,0
2025-10-16,9,3,2
2025-10-17,9,3,0
2025-10-18,9,3,0
2025-10-19,9,3,0
2025-10-20,9,3,0
2025-10-21,9,3,0
2025-10-22,9,3,1
2025-10-23,9,3,0
2025-10-24,9,3,0
2025-10-25,9,3,0
2025-10-26,9,3,0
2025-10-27,9,3,1
2025-10-28,9,4,0
2025-10-29,9,4,0
2025-10-30,9,4,1
2025-10-31,9,4,1
2025-11-01,10,3,0
2025-11-02,10,3,1
2025-11-03,10,3,1
2025-11-04,10,3,1
2025-11-05,10,3,0
2025-11-06,10,3,0
2025-11-07,10,3,0
2025-11-08,11,3,1
2025-11-09,11,3,1
2025-11-10,11,3,0
2025-11-11,11,3,0
2025-11-12,11,3,0
2025-11-13,11,3,0
2025-11-14,11,3,0
2025-11-15,11,3,0
2025-11-16,11,3,0
2025-11-17,11,3,0
